,SETTLEMENT_DATE,dailyND,Week_Day,London Avg Temp
47,18-Feb-2020,31561.5625,1.0,10.0
48,19-Feb-2020,32628.4375,1.0,10.0
49,20-Feb-2020,33950.666666666664,1.0,9.0
50,21-Feb-2020,32614.520833333332,1.0,10.0
51,22-Feb-2020,32007.5,0.0,11.0
52,23-Feb-2020,27719.916666666668,0.0,13.0
53,24-Feb-2020,28484.416666666668,1.0,14.0
54,25-Feb-2020,33294.041666666664,1.0,12.0
55,26-Feb-2020,33788.166666666664,1.0,8.0
56,27-Feb-2020,34194.395833333336,1.0,8.0
57,28-Feb-2020,34378.6875,1.0,8.0
58,29-Feb-2020,35039.6875,0.0,11.0
59,01-Mar-2020,28226.541666666668,0.0,11.0
60,02-Mar-2020,27687.9375,1.0,
61,03-Mar-2020,33372.583333333336,1.0,
62,04-Mar-2020,34252.9375,1.0,
63,05-Mar-2020,35940.270833333336,1.0,
64,06-Mar-2020,36415.1875,1.0,
65,07-Mar-2020,34133.3125,0.0,
66,08-Mar-2020,29009.416666666668,0.0,
67,09-Mar-2020,26642.916666666668,1.0,
68,10-Mar-2020,32021.041666666668,1.0,
69,11-Mar-2020,30811.3125,1.0,
70,12-Mar-2020,30184.4375,1.0,
71,13-Mar-2020,30095.916666666668,1.0,
72,14-Mar-2020,32529.604166666668,0.0,
73,15-Mar-2020,28507.875,0.0,
74,16-Mar-2020,27520.729166666668,1.0,
75,17-Mar-2020,30827.645833333332,1.0,
76,18-Mar-2020,30608.229166666668,1.0,
77,19-Mar-2020,32308.458333333332,1.0,
78,20-Mar-2020,33290.354166666664,1.0,
79,21-Mar-2020,30985.270833333332,0.0,
80,22-Mar-2020,26128.604166666668,0.0,
81,23-Mar-2020,26072.520833333332,1.0,
82,24-Mar-2020,28776.604166666668,1.0,
83,25-Mar-2020,26871.145833333332,1.0,
84,26-Mar-2020,26875.9375,1.0,
85,27-Mar-2020,26953.145833333332,1.0,
86,28-Mar-2020,25813.208333333332,0.0,
87,29-Mar-2020,23690.875,0.0,
88,30-Mar-2020,23038.3125,1.0,
89,31-Mar-2020,28072.5625,1.0,
90,01-Apr-2020,28588.208333333332,1.0,
91,02-Apr-2020,28564.583333333332,1.0,
92,03-Apr-2020,25467.208333333332,1.0,
93,04-Apr-2020,26472.958333333332,0.0,
94,05-Apr-2020,23296.041666666668,0.0,
95,06-Apr-2020,20565.3125,1.0,
96,07-Apr-2020,22819.8125,1.0,
97,08-Apr-2020,24047.229166666668,1.0,
98,09-Apr-2020,24160.020833333332,1.0,
99,10-Apr-2020,23442.395833333332,1.0,
100,11-Apr-2020,21891.041666666668,0.0,
101,12-Apr-2020,20656.375,0.0,
102,13-Apr-2020,20784.395833333332,1.0,
103,14-Apr-2020,20440.291666666668,1.0,
104,15-Apr-2020,23593.958333333332,1.0,
105,16-Apr-2020,23071.354166666668,1.0,
106,17-Apr-2020,22947.333333333332,1.0,
107,18-Apr-2020,22940.166666666668,0.0,
108,19-Apr-2020,23472.3125,0.0,
109,20-Apr-2020,20671.8125,1.0,
110,21-Apr-2020,20916.041666666668,1.0,
111,22-Apr-2020,20828.145833333332,1.0,
112,23-Apr-2020,21605.375,1.0,
113,24-Apr-2020,22768.0,1.0,
114,25-Apr-2020,22480.458333333332,0.0,
115,26-Apr-2020,21319.0,0.0,
116,27-Apr-2020,21097.8125,1.0,
117,28-Apr-2020,24000.625,1.0,
118,29-Apr-2020,26495.583333333332,1.0,
119,30-Apr-2020,25309.208333333332,1.0,
120,01-May-2020,24699.354166666668,1.0,
121,02-May-2020,23777.520833333332,0.0,
122,03-May-2020,21669.6875,0.0,
123,04-May-2020,23360.541666666668,1.0,
124,05-May-2020,23214.666666666668,1.0,
125,06-May-2020,22625.5,1.0,
126,07-May-2020,22761.041666666668,1.0,
127,08-May-2020,22723.375,1.0,
128,09-May-2020,21159.0,0.0,
129,10-May-2020,19997.020833333332,0.0,
130,11-May-2020,20106.833333333332,1.0,
131,12-May-2020,22302.9375,1.0,
132,13-May-2020,23983.854166666668,1.0,
133,14-May-2020,24161.375,1.0,
134,15-May-2020,23644.729166666668,1.0,
135,16-May-2020,22981.541666666668,0.0,
136,17-May-2020,21031.020833333332,0.0,
137,18-May-2020,20227.729166666668,1.0,
138,19-May-2020,21779.041666666668,1.0,
139,20-May-2020,22894.3125,1.0,
140,21-May-2020,22452.729166666668,1.0,
141,22-May-2020,22494.479166666668,1.0,
142,23-May-2020,19036.895833333332,0.0,
143,24-May-2020,18054.729166666668,0.0,
144,25-May-2020,18716.8125,1.0,
145,26-May-2020,19537.041666666668,1.0,
146,27-May-2020,22248.0625,1.0,
147,28-May-2020,22573.104166666668,1.0,
148,29-May-2020,21870.5625,1.0,
149,30-May-2020,20949.270833333332,0.0,
150,31-May-2020,18847.479166666668,0.0,
